t,x,y,label
1,365.365,160.628,0
2,363.99,159.815,0
3,362.615,159.003,0
4,361.24,158.19,0
5,359.865,157.378,0
6,358.095,156.465,0
7,356.325,155.551,0
8,354.555,154.638,0
9,353.23,154.036,0
10,351.904,153.434,0
11,350.579,152.832,0
12,349.253,152.23,0
13,347.928,151.628,0
14,346.829,151.081,0
15,345.73,150.534,0
16,344.631,149.988,0
17,343.533,149.441,0
18,342.434,148.894,0
19,341.335,148.347,0
20,339.986,147.55,0
21,338.637,146.753,0
22,337.288,145.957,0
23,335.939,145.16,0
24,334.59,144.363,0
25,333.241,143.566,0
26,331.955,142.811,0
27,330.668,142.056,0
28,329.382,141.3,0
29,328.095,140.545,0
30,326.809,139.79,0
31,325.522,139.035,0
32,324.236,138.28,0
33,322.95,137.525,0
34,321.663,136.769,0
35,320.377,136.014,0
36,319.09,135.259,0
37,317.804,134.504,0
38,316.349,133.941,0
39,314.895,133.379,0
40,313.44,132.816,0
41,311.986,132.254,0
42,310.531,131.691,0
43,309.077,131.129,0
44,307.622,130.566,0
45,306.168,130.004,0
46,304.713,129.441,0
47,303.259,128.879,0
48,301.804,128.316,0
49,300.486,127.805,0
50,299.168,127.293,0
51,297.849,126.782,0
52,296.531,126.271,0
53,295.213,125.759,0
54,293.895,125.248,0
55,292.577,124.736,0
56,291.259,124.225,0
57,289.94,123.714,0
58,288.622,123.202,0
59,287.304,122.691,0
60,285.867,121.861,0
61,284.429,121.032,0
62,282.992,120.202,0
63,281.554,119.373,0
64,280.117,118.543,0
65,278.679,117.714,0
66,277.242,116.884,0
67,275.804,116.055,0
68,274.367,115.225,0
69,272.929,114.396,0
70,271.492,113.566,0
71,270.419,112.962,0
72,269.346,112.358,0
73,268.274,111.754,0
74,267.201,111.149,0
75,266.128,110.545,0
76,265.055,109.941,0
77,263.482,109.181,0
78,261.909,108.42,0
79,260.337,107.66,0
80,258.764,106.9,0
81,257.191,106.139,0
82,255.618,105.379,0
83,254.389,104.844,0
84,253.16,104.31,0
85,251.931,103.775,0
86,250.702,103.24,0
87,249.472,102.706,0
88,248.243,102.171,0
89,247.014,101.636,0
90,245.785,101.102,0
91,244.556,100.567,0
92,243.067,99.845,0
93,241.579,99.124,0
94,240.09,98.402,0
95,238.601,97.681,0
96,237.113,96.959,0
97,235.624,96.238,0
98,234.136,95.516,0
99,232.647,94.795,0
100,231.158,94.073,0
101,229.67,93.352,0
102,228.181,92.63,0
103,226.689,91.966,0
104,225.197,91.302,0
105,223.705,90.638,0
106,222.213,89.974,0
107,220.72,89.31,0
108,219.228,88.646,0
109,217.736,87.982,0
110,216.244,87.318,0
111,215.161,86.577,0
112,214.077,85.836,0
113,212.994,85.096,0
114,211.911,84.355,0
115,210.827,83.614,0
116,209.744,82.873,0
117,208.661,82.133,0
118,207.577,81.392,0
119,206.494,80.651,0
120,205.096,79.901,0
121,203.698,79.151,0
122,202.3,78.401,0
123,200.902,77.651,0
124,199.503,76.901,0
125,198.105,76.151,0
126,196.707,75.401,0
127,195.309,74.651,0
128,193.911,73.901,0
129,192.444,73.226,0
130,190.978,72.551,0
131,189.511,71.876,0
132,188.044,71.201,0
133,186.577,70.526,0
134,185.111,69.851,0
135,183.644,69.176,0
136,182.177,68.501,0
137,180.711,67.826,0
138,179.244,67.151,0
139,178.111,66.501,0
140,176.977,65.851,0
141,175.844,65.201,0
142,174.711,64.551,0
143,173.577,63.901,0
144,172.444,63.251,0
145,171.311,62.601,0
146,170.178,61.951,0
147,169.044,61.301,0
148,167.911,60.651,0
149,166.411,59.786,0
150,164.911,58.922,0
151,163.411,58.057,0
152,161.911,57.193,0
153,160.411,56.328,0
154,158.911,55.463,0
155,157.411,54.599,0
156,155.911,53.734,0
157,154.613,52.889,0
158,153.316,52.043,0
159,152.018,51.198,0
160,150.721,50.353,0
161,149.423,49.508,0
162,148.126,48.662,0
163,146.828,47.817,0
164,145.737,47.158,0
165,144.646,46.499,0
166,143.555,45.84,0
167,142.464,45.181,0
168,141.373,44.522,0
169,140.283,43.862,0
170,139.192,43.203,0
171,138.101,42.544,0
172,137.01,41.885,0
173,135.919,41.226,0
174,134.828,40.567,0
175,133.5,39.739,0
176,132.172,38.911,0
177,130.844,38.083,0
178,129.516,37.255,0
179,128.187,36.426,0
180,126.859,35.598,0
181,125.531,34.77,0
182,124.203,33.942,0
183,122.969,33.286,0
184,121.734,32.63,0
185,120.5,31.973,0
186,119.266,31.317,0
187,118.031,30.661,0
188,116.797,30.005,0
189,115.562,29.348,0
190,114.328,28.692,0
191,113.203,28.161,0
192,112.078,27.63,0
