t,x,y,label
0,887.0,761.0,0
1,888.0,762.0,0
2,889.0,763.0,0
3,890.0,765.0,0
4,892.0,766.0,0
5,892.0,767.0,0
6,893.0,768.0,0
7,894.0,768.0,0
8,895.0,769.0,0
9,896.0,769.0,0
10,897.0,769.0,0
11,898.0,771.0,0
12,898.0,772.0,0
13,899.0,774.0,0
14,899.0,775.0,0
15,900.0,776.0,0
16,901.0,777.0,0
17,902.0,778.0,0
18,904.0,779.0,0
19,904.0,780.0,0
20,905.0,781.0,0
21,905.0,782.0,0
22,906.0,783.0,0
23,907.0,784.0,0
24,908.0,785.0,0
25,909.0,786.0,0
26,910.0,786.0,0
27,912.0,787.0,0
28,913.0,788.0,0
29,914.0,788.0,0
30,915.0,789.0,0
31,916.0,789.0,0
32,917.0,791.0,0
33,918.0,793.0,0
34,919.0,793.0,0
35,920.0,793.0,0
36,920.0,795.0,0
37,921.0,796.0,0
38,921.0,797.0,0
39,923.0,799.0,0
40,923.0,800.0,0
41,924.0,801.0,0
42,925.0,803.0,0
43,926.0,804.0,0
44,928.0,805.0,0
45,929.0,806.0,0
46,930.0,807.0,0
47,931.0,807.0,0
48,932.0,809.0,0
49,933.0,810.0,0
50,933.0,811.0,0
51,934.0,813.0,0
52,935.0,814.0,0
53,936.0,815.0,0
54,938.0,816.0,0
55,938.0,817.0,0
56,939.0,818.0,0
57,941.0,820.0,0
58,942.0,821.0,0
59,944.0,822.0,0
60,945.0,824.0,0
61,946.0,825.0,0
62,947.0,826.0,0
63,947.0,827.0,0
64,949.0,828.0,0
65,949.0,829.0,0
66,950.0,831.0,0
67,951.0,832.0,0
68,952.0,833.0,0
69,953.0,833.0,0
70,953.0,835.0,0
71,954.0,835.0,0
72,956.0,837.0,0
73,957.0,838.0,0
74,957.0,839.0,0
75,959.0,841.0,0
76,960.0,842.0,0
77,961.0,844.0,0
78,963.0,845.0,0
79,963.0,845.0,0
80,964.0,847.0,0
81,965.0,848.0,0
82,966.0,848.0,0
83,967.0,850.0,0
84,968.0,851.0,0
85,969.0,852.0,0
86,969.0,852.0,0
87,970.0,853.0,0
88,971.0,854.0,0
89,971.0,854.0,0
90,972.0,854.0,0
91,973.0,856.0,0
92,974.0,857.0,0
93,974.0,858.0,0
94,974.0,860.0,0
95,975.0,860.0,0
96,976.0,861.0,0
97,976.0,863.0,0
98,978.0,863.0,0
99,979.0,864.0,0
100,979.0,865.0,0
101,980.0,867.0,0
102,981.0,868.0,0
103,982.0,868.0,0
104,982.0,869.0,0
105,984.0,869.0,0
106,985.0,870.0,0
107,987.0,871.0,0
108,987.0,872.0,0
109,989.0,873.0,0
110,990.0,874.0,0
111,991.0,876.0,0
112,992.0,877.0,0
113,994.0,877.0,0
114,995.0,878.0,0
115,996.0,879.0,0
116,997.0,880.0,0
117,998.0,882.0,0
118,999.0,883.0,0
119,1000.0,885.0,0
120,1001.0,886.0,0
121,1001.0,887.0,0
122,1002.0,888.0,0
123,1003.0,890.0,0
124,1003.0,891.0,0
125,1005.0,893.0,0
126,1005.0,893.0,0
127,1006.0,893.0,0
128,1008.0,894.0,0
129,1009.0,896.0,0
130,1011.0,897.0,0
131,1013.0,899.0,0
132,1014.0,900.0,0
133,1014.0,901.0,0
134,1015.0,903.0,0
135,1015.0,904.0,0
136,1016.0,906.0,0
137,1017.0,907.0,0
138,1018.0,909.0,0
139,1019.0,909.0,0
140,1020.0,910.0,0
141,1021.0,912.0,0
142,1022.0,913.0,0
143,1023.0,914.0,0
