uid,label,chi,start,end
lab_0_0,0,"[[  1.    184.166 463.817]
 [  2.    183.941 463.692]
 [  3.    183.716 463.567]
 ...
 [299.    146.777 448.634]
 [300.    146.795 448.518]
 [301.    146.813 448.402]]",[184.166 463.817],[146.813 448.402]
lab_0_1,0,"[[  1.    222.832 358.463]
 [  2.    222.632 358.294]
 [  3.    222.432 358.126]
 ...
 [299.    195.393 340.232]
 [300.    195.489 340.078]
 [301.    195.584 339.923]]",[222.832 358.463],[195.584 339.923]
lab_0_2,0,"[[  1.    458.061 271.025]
 [  2.    457.744 271.058]
 [  3.    457.428 271.092]
 ...
 [299.    429.052 259.259]
 [300.    428.837 259.331]
 [301.    428.623 259.402]]",[458.061 271.025],[428.623 259.402]
lab_0_3,0,"[[  1.    207.291 102.358]
 [  2.    207.158 102.375]
 [  3.    207.024 102.391]
 ...
 [299.    167.168  87.586]
 [300.    167.311  87.533]
 [301.    167.454  87.479]]",[207.291 102.358],[167.454  87.479]
lab_0_4,0,"[[1.000000e+00 1.001916e+03 2.491290e+02]
 [2.000000e+00 1.001883e+03 2.491220e+02]
 [3.000000e+00 1.001850e+03 2.491150e+02]
 ...
 [2.990000e+02 1.000383e+03 2.488510e+02]
 [3.000000e+02 1.000342e+03 2.490170e+02]
 [3.010000e+02 1.000300e+03 2.491840e+02]]",[1001.916  249.129],[1000.3    249.184]
lab_0_5,1,"[[ 49.    229.582 332.15 ]
 [ 50.    228.415 329.317]
 [ 51.    227.249 326.483]
 ...
 [164.    308.458   8.42 ]
 [165.    310.583   5.545]
 [166.    312.708   2.67 ]]",[229.582 332.15 ],[312.708   2.67 ]
lab_0_6,1,"[[ 144.    1016.561  398.688]
 [ 145.    1013.961  399.138]
 [ 146.    1011.361  399.588]
 ...
 [ 299.     994.585  542.33 ]
 [ 300.     995.185  543.63 ]
 [ 301.     995.785  544.93 ]]",[1016.561  398.688],[995.785 544.93 ]
lab_1_0,1,"[[  1.  489.   11. ]
 [  2.  485.5  14.5]
 [  3.  482.   18. ]
 ...
 [299.   30.  834. ]
 [300.   24.5 842. ]
 [301.   19.  850. ]]",[489.  11.],[ 19. 850.]
lab_1_1,0,"[[  1.    131.    122.   ]
 [  2.    130.886 122.034]
 [  3.    130.773 122.068]
 ...
 [299.     95.247 127.901]
 [300.     95.123 127.951]
 [301.     95.    128.   ]]",[131. 122.],[ 95. 128.]
lab_1_2,0,"[[  1.      5.    228.   ]
 [  2.      4.875 228.063]
 [  3.      4.75  228.125]
 ...
 [ 19.      3.    229.   ]
 [ 20.      3.    229.   ]
 [ 21.      3.    229.   ]]",[  5. 228.],[  3. 229.]
lab_1_3,1,"[[   4.  734.   14.]
 [   5.  731.   27.]
 [   6.  728.   40.]
 ...
 [  92.  314.  999.]
 [  93.  316. 1011.]
 [  94.  323. 1019.]]",[734.  14.],[ 323. 1019.]
lab_1_4,0,"[[ 17. 231.   7.]
 [ 18. 224.   7.]
 [ 19. 220.  10.]
 ...
 [ 55.  17. 101.]
 [ 56.  10. 104.]
 [ 57.   5. 108.]]",[231.   7.],[  5. 108.]
lab_1_5,1,"[[ 46.      5.    304.   ]
 [ 47.      8.    311.   ]
 [ 48.      9.333 320.333]
 ...
 [156.     31.    560.   ]
 [157.     23.    557.   ]
 [158.      8.    559.   ]]",[  5. 304.],[  8. 559.]
lab_1_6,1,"[[ 115.  1005.   524. ]
 [ 116.   996.   526. ]
 [ 117.   974.   531. ]
 ...
 [ 198.    46.   199. ]
 [ 199.    31.5  191. ]
 [ 200.    17.   183. ]]",[1005.  524.],[ 17. 183.]
lab_1_7,1,"[[254.      6.    853.   ]
 [255.     11.667 851.667]
 [256.     17.333 850.333]
 ...
 [299.    113.    753.5  ]
 [300.    114.    754.   ]
 [301.    115.    755.   ]]",[  6. 853.],[115. 755.]
lab_1_8,1,"[[ 293.  732. 1019.]
 [ 294.  733. 1010.]
 [ 295.  732. 1005.]
 ...
 [ 299.  727.  982.]
 [ 300.  727.  981.]
 [ 301.  727.  977.]]",[ 732. 1019.],[727. 977.]
lab_1_9,1,"[[298. 854.  12.]
 [299. 846.  25.]
 [300. 839.  36.]
 [301. 830.  51.]]",[854.  12.],[830.  51.]
lab_2_0,1,"[[  1. 147. 386.]
 [  2. 147. 373.]
 [  3. 145. 360.]
 ...
 [ 50.  92.  34.]
 [ 51.  90.  23.]
 [ 52.  91.  10.]]",[147. 386.],[91. 10.]
lab_2_1,1,"[[1.000e+00 2.550e+02 3.330e+02]
 [2.000e+00 2.580e+02 3.400e+02]
 [3.000e+00 2.550e+02 3.470e+02]
 ...
 [1.260e+02 2.330e+02 1.020e+03]
 [1.270e+02 2.280e+02 1.020e+03]
 [1.280e+02 2.230e+02 1.021e+03]]",[255. 333.],[ 223. 1021.]
lab_2_2,1,"[[1.000e+00 7.770e+02 3.990e+02]
 [2.000e+00 7.770e+02 4.100e+02]
 [3.000e+00 7.730e+02 4.290e+02]
 ...
 [4.600e+01 5.880e+02 9.875e+02]
 [4.700e+01 5.920e+02 1.003e+03]
 [4.800e+01 5.960e+02 1.014e+03]]",[777. 399.],[ 596. 1014.]
lab_2_3,1,"[[1.000e+00 8.000e+02 5.670e+02]
 [2.000e+00 7.970e+02 5.610e+02]
 [3.000e+00 7.900e+02 5.540e+02]
 ...
 [9.000e+01 1.017e+03 2.300e+01]
 [9.100e+01 1.022e+03 2.500e+01]
 [9.200e+01 1.022e+03 2.500e+01]]",[800. 567.],[1022.   25.]
lab_2_4,0,"[[  1.    183.    441.   ]
 [  2.    183.062 440.961]
 [  3.    183.124 440.922]
 ...
 [302.    202.857 433.   ]
 [303.    202.929 433.   ]
 [304.    203.    433.   ]]",[183. 441.],[203. 433.]
