uid,label,chi,squarederr
lab_0_0,0,5783.762954474441,1740912.6492968067
lab_0_1,0,22473.423601151087,6764500.503946481
lab_0_2,0,33540.1411450156,10095582.484649695
lab_0_3,0,6022.956032442923,1812909.7657653193
lab_0_4,0,1125.774924516216,338858.25227938127
lab_0_5,1,545353.528458738,64351716.35813109
lab_0_6,1,44517637.78677956,7033786770.31117
lab_1_0,1,608422.6008507087,183135202.85606328
lab_1_1,0,477.32456391491297,143674.6937383888
lab_1_2,0,6.250952476190452,131.27000199999952
lab_1_3,1,2816125.803981296,256267448.1622979
lab_1_4,0,10465.429139909156,429082.5947362752
lab_1_5,1,39064202.81658896,4414254918.274552
lab_1_6,1,66458.64776027983,5715443.707384063
lab_1_7,1,369.64672420006394,17743.04276160307
lab_1_8,1,37892314.11111112,341030827.0
lab_1_9,1,1925589.89453125,7702359.578125
lab_2_0,1,958846.2406423265,49860004.51340098
lab_2_1,1,54923347.42853805,7030188470.85287
lab_2_2,1,6717621.97999281,322445855.03965485
lab_2_3,1,2739945.9682291136,252075029.07707837
lab_2_4,0,5175.459628146843,1573339.7269566404
lab_2_5,1,1989708.5245593728,75608923.93325618
lab_2_6,1,9670.623981106963,1015415.5180162308
lab_2_7,1,8833.13055555556,397490.875
lab_2_8,1,inf,inf
lab_2_9,1,4466.1133365985825,455543.56033305527
lab_2_10,1,49152332.87026328,1081351323.145792
lab_2_11,1,158.07973217132547,1580.7973217132549
lab_2_12,1,1049.389060642091,5246.945303210455
lab_2_13,1,5525.038347506384,812180.6370834385
lab_2_14,1,1012496.7397374546,11137464.137112
lab_2_15,1,189680.92710807943,22951392.180077612
lab_2_16,1,11876.446995270124,1318285.616474984
lab_2_17,1,69633.26413721705,1531931.8110187748
lab_2_18,1,272.03457900877726,12785.625213412533
lab_2_19,1,180.62948361595977,7225.179344638394
lab_2_20,1,90314.08059336786,2438480.176020933
lab_3_0,1,33246.68135243692,2460254.420080332
lab_3_1,0,56.15744025119113,16847.23207535733
lab_3_2,0,384195.13500897586,115258540.50269271
lab_3_3,0,54900.803144530044,16470240.943359023
lab_3_4,0,2406911.489130453,722073446.7391357
lab_3_5,0,inf,inf
lab_3_6,0,123410.8084790037,37023242.54370108
lab_3_7,0,10875.932010119066,3262779.6030357215
lab_3_8,0,89695.0027542621,26908500.826278646
lab_3_9,0,212421.10420758082,63726331.26227459
lab_3_10,0,203717.95592743685,61115386.778231055
lab_3_11,0,240407.0826892227,72122124.80676676
lab_3_12,1,1193611.9852607711,4774447.9410430845
lab_3_13,1,217.57110700227258,13924.550848145445
lab_3_14,1,23105.106150793654,808678.7152777781
lab_4_0,1,2727.1955918553626,125450.9972253467
lab_4_1,0,792.0662921658752,238411.95394192854
lab_4_2,0,55.51180315416018,16709.052749402206
lab_4_3,0,862.3226766772942,259559.1256798659
lab_4_4,0,338736.3200483313,74860726.73068124
lab_4_5,0,56.858460652304814,17114.396656343735
lab_4_6,0,24484.88014319597,6464008.357803736
lab_4_7,0,141599.44612921606,23505508.057449866
lab_4_8,0,467184.9228459174,17285842.145298943
lab_4_9,0,114145.95349798688,34357932.00289406
lab_4_10,0,420401.72605567245,6726427.616890759
lab_4_11,0,149347.85167784867,5227174.808724703
lab_4_12,1,193424.91870532982,23404415.16334491
lab_4_13,0,171326.10002021954,48142634.105681755
lab_4_14,0,31.96279539245407,3420.019106992586
lab_4_15,0,3786.06919054554,314243.74281527963
lab_4_16,0,423462.8206988534,45733984.63547617
lab_4_17,0,75167.3353296404,12026773.652742455
lab_4_18,0,116645.44924349373,12714353.96754081
lab_4_19,0,215627.45224674934,19190843.24996069
lab_4_20,0,24946.95195514187,823249.4145196818
lab_4_21,0,517967.42371879343,16574957.55900139
lab_4_22,0,2026.551472174412,54716.889748709116
lab_4_23,0,68021.32748421961,1428447.877168612
lab_5_0,0,156799.65559927697,47039896.6797831
lab_5_1,0,450001.36972222984,19800060.26777812
lab_5_2,0,4469.264519667749,1340779.3559003235
lab_5_3,0,70108.79616961305,3996201.381667944
lab_5_4,0,71783.03072766968,2225273.9525577603
lab_5_5,0,369238.8275131191,25477479.098405205
lab_5_6,1,56164.429796321776,3089043.6387976976
lab_5_7,0,321980.11614107917,2253860.8129875544
lab_5_8,0,318598.79218712635,95579637.65613782
lab_5_9,1,290682.14565648785,12208650.117572494
lab_5_10,0,190025.8537166409,21472921.469980426
lab_5_11,0,308699.27169812913,48774484.92830439
lab_5_12,0,339903.0789397999,46906624.89369241
lab_5_13,0,154137.48314657487,46241244.94397251
lab_5_14,0,693436.033852873,7627796.372381604
lab_5_15,0,115642.67269057325,34692801.80717196
lab_5_16,0,199502.1333272608,48479018.39852441
lab_5_17,0,57194.25870499903,5605037.353089901
lab_5_18,0,251189.37476088307,62797343.69022074
lab_5_19,0,161039.8232516776,48311946.9755033
lab_5_20,0,159990.53300388868,47997159.90116662
lab_5_21,0,23.41811712584648,6931.762669250563
lab_5_22,0,161384.6317666602,45510466.158198185
lab_5_23,0,32.27452576217472,9230.514367981958
lab_5_24,1,11687.485502053147,432436.9635759664
lab_5_25,1,1187.4715094726996,13062.186604199695
lab_5_26,0,443566.40993786027,40364543.30434528
lab_5_27,0,152522.88839070417,38130722.09767604
lab_5_28,0,24090.008688830807,4456651.607433701
lab_5_29,0,244490.52940820032,60389160.7638255
lab_5_30,0,17107.72302055895,2720127.9602688747
lab_5_31,0,68161.31156538289,2658291.151049933
lab_5_32,0,148.62506339735026,34778.26483497995
lab_5_33,0,429852.86731826665,23212054.83518639
lab_5_34,0,11.295430294984563,2417.2220831266964
lab_5_35,0,24.190790975792062,4813.967404182625
lab_5_36,0,118125.76740771577,22680147.342281446
lab_5_37,0,128471.76695781574,17343688.539305132
lab_5_38,0,4.143211148256841,783.0669070205428
lab_5_39,1,2900.1778237055846,443727.2070269544
lab_5_40,0,269919.19472969987,43996828.74094109
lab_5_41,0,23432.523009136323,3796068.727480084
lab_5_42,1,2149.415689964594,268676.9612455743
lab_5_43,0,15.869923895412239,1650.4720851228728
lab_5_44,0,2721.1277154770637,106123.98090360552
lab_5_45,0,78491.80141941093,5180458.89368112
lab_5_46,0,93279.15715904931,4943795.329429613
lab_5_47,0,497572.9071038316,11444176.863388123
lab_6_0,0,257945.9088579569,77383772.65738706
lab_6_1,0,53199.86641342143,15959959.924026435
lab_6_2,0,58001.592837186,17400477.851155788
lab_6_3,0,1818320.400606329,436396896.1455186
lab_6_4,0,207761.60136104826,62328480.40831448
lab_6_5,0,73565.17044099995,4634605.737782993
lab_6_6,1,3481.7634117698162,1013193.1528250169
lab_6_7,0,nan,nan
lab_6_8,0,219488233.9702752,65846470191.08256
lab_6_9,0,418.3877234461789,125516.31703385347
lab_6_10,0,158.7752103352703,47632.563100581094
lab_6_11,0,32757.57307651367,5077423.826859619
lab_6_12,0,5141288.566598741,1542386569.9796228
lab_6_13,0,152161.45905682887,9434010.461523391
lab_6_14,0,471618.48894615157,3772947.9115692126
lab_6_15,1,4528.541115464843,1046092.9976723775
lab_6_16,0,2087273.466620045,626182039.986013
lab_6_17,0,132593817.81333435,32618079182.080288
lab_6_18,0,nan,nan
lab_6_19,1,277842.7279644821,22227418.23715858
lab_6_20,0,11482.74376646837,2767341.247718877
lab_6_21,0,173058.43459214145,51917530.37764242
lab_6_22,1,52145.1707769834,10011872.78918081
lab_6_23,0,301171.1817484576,2710540.6357361185
lab_6_24,0,870.270371906896,27848.651901020672
lab_6_25,0,63687.65845907112,7451456.03971132
lab_6_26,0,426523.4605082311,15354844.57829632
lab_6_27,0,91759.94903179072,1376399.2354768603
lab_6_28,0,207.96895325222215,60103.02748989221
lab_6_29,1,54202.14345817919,13008514.429963011
lab_6_30,1,34918.95170352604,1326920.1647339899
lab_6_31,0,129004.24612596896,11223369.412959294
lab_6_32,0,1276187.3114684287,271827897.3427754
lab_6_33,1,115044.96659516032,10123957.060374113
lab_6_34,0,68.42258147830309,12316.064666094553
lab_6_35,1,2110.3063034113425,82301.94583304234
lab_6_36,1,2959.117843965437,144996.77435430646
lab_6_37,0,19454.4581321723,2898714.2616936746
lab_6_38,1,1133.4912856501248,53274.090425555856
lab_6_39,0,350946.8268645446,26321012.014840845
lab_6_40,0,5113.702921111964,388641.42200450925
lab_6_41,0,43808.74849643043,700939.9759428869
lab_7_0,0,2205919.8273008415,13235518.96380505
lab_7_1,0,74324.17410537848,16351318.303183272
lab_7_2,0,371570.434431135,71713093.84520902
lab_7_3,0,125292.75192918765,12153396.937131202
lab_7_4,0,1392674.023623979,52921612.897711195
lab_7_5,0,1000535.8099243216,101054116.80235651
lab_7_6,0,222.5121087603767,7787.923806613185
lab_7_7,0,1425694.556358305,101224313.50143966
lab_7_8,0,287299.6226588934,59471021.890390895
lab_7_9,0,161019.5118189224,23669868.237381592
lab_7_10,0,14.480821647469515,1216.3890183874398
lab_7_11,0,32.24675420110932,935.15587183217
lab_7_12,0,1610230.6288092046,90172915.21331546
lab_7_13,0,1315950.0818047272,76325104.74467418
lab_7_14,0,55.00729056788079,1155.1531019254962
lab_7_15,1,555954.6948886892,25017961.269991014
lab_8_0,0,1860.4335963612257,117207.31657075723
lab_8_1,0,1349243.153915079,168655394.23938504
lab_8_2,0,49864.4444299466,17103504.439471696
lab_8_3,1,1726715.3852983275,51801461.55894982
lab_8_4,0,1800678.613428361,93635287.8982748
lab_8_5,0,157.99900360555804,51981.67218622854
lab_8_6,0,599952.7236657063,17998581.70997119
lab_8_7,0,803609.3691396134,234653935.7887673
lab_8_8,0,380748.34333275084,91760350.74319303
lab_8_9,0,8.612069831753352,1309.03461442651
lab_8_10,0,633878.7699084653,72262179.76956505
lab_9_0,1,76837.58482711617,15674867.304731695
lab_9_1,0,192014395.44354483,57796333028.50695
lab_9_2,0,127505.07364917427,38379027.168401465
lab_9_3,0,64037.647008354754,19275331.749514785
lab_9_4,0,19203503.076739274,5780254426.098527
lab_9_5,0,36472.55930508989,10978240.350832047
lab_9_6,0,282900.8505504705,85153156.01569168
lab_9_7,0,11776137.712434141,1224718322.0931509
lab_9_8,0,19831.0157845852,1269185.0102134529
lab_10_0,0,12544.837098851078,2847678.021439195
lab_10_1,0,59412.99107606623,16397985.53699428
lab_10_2,0,38436.12999595954,11530838.998787858
lab_10_3,0,44996.528569279755,13498958.570783932
lab_10_4,0,32149.36494157197,9644809.482471574
lab_10_5,0,7640.7699788427,2261667.9137374377
lab_10_6,1,10478815.916858202,1928102128.70191
lab_10_7,0,31557.993564468055,3818517.221300637
lab_10_8,0,27906.635945627593,2148810.967813324
lab_11_0,0,150824.78218583294,10859384.317379974
lab_11_1,0,38224.199745238526,5542508.963059585
lab_11_2,0,357.6254513367608,107287.63540102832
lab_11_3,0,16403.10662429215,4920931.987287645
lab_11_4,0,449.6062745140994,35069.28941209975
lab_11_5,0,60231.81256078725,8673381.008753363
lab_11_6,0,57542779.82020569,9437015890.513735
lab_11_7,0,4967540.508217251,1490262152.465175
lab_11_8,0,4775.181168435361,902509.2408342835
lab_11_9,0,6415.70509804061,834041.6627452795
lab_11_10,0,36268.34449989175,10880503.349967515
lab_11_11,0,90088.59197565955,22432059.401939224
lab_11_12,0,30360.624104913404,8197368.508326626
lab_11_13,0,140892.23436314953,13102977.795772906
lab_11_14,1,182229.77217998359,25329938.333017714
lab_11_15,0,69.20687474572735,10519.444961350557
lab_11_16,0,8601.791037648969,1135436.4169696644
lab_11_17,0,238131.53054872426,71439459.16461737
lab_11_18,1,8817.12662361597,1234397.7273062363
lab_11_19,1,135928.78220406297,6252723.981386897
lab_11_20,1,86243.6944515692,11642898.75096184
lab_11_21,1,153797.1445698185,16456294.468970591
lab_11_22,0,25312128.592994444,7568326449.305326
lab_11_23,0,235.02676629280333,55936.37037768726
lab_11_24,0,15129.363156220503,4448032.767928828
lab_11_25,1,1137347.7142737226,213821370.28346026
lab_11_26,1,429743.88111563306,27933352.27251615
lab_11_27,1,917265.8893226308,144010744.62365302
lab_11_28,0,37657.75446702516,1468652.424213981
lab_11_29,1,8384.098074203617,1517521.7514308563
lab_11_30,1,4085.2855492598705,735351.3988667768
lab_11_31,1,1839319.822997867,71733473.09691678
lab_11_32,1,14598.478030727938,3197066.688729418
lab_11_33,0,21687.944797439795,4489404.573070042
lab_11_34,0,924.4234346745895,134041.3980278155
