t,x,y,label
1,470.916,198.88,0
2,469.543,198.272,0
3,468.171,197.664,0
4,466.798,197.057,0
5,465.426,196.449,0
6,464.053,195.841,0
7,462.681,195.233,0
8,461.308,194.625,0
9,459.936,194.017,0
10,458.563,193.41,0
11,457.191,192.802,0
12,455.818,192.194,0
13,454.446,191.586,0
14,453.073,190.978,0
15,451.701,190.37,0
16,450.328,189.763,0
17,448.956,189.155,0
18,447.583,188.547,0
19,446.166,187.957,0
20,444.75,187.367,0
21,443.333,186.776,0
22,441.916,186.186,0
23,440.5,185.596,0
24,439.083,185.005,0
25,437.666,184.415,0
26,436.25,183.825,0
27,434.833,183.235,0
28,433.416,182.644,0
29,432.0,182.054,0
30,430.583,181.464,0
31,429.25,180.797,0
32,427.916,180.131,0
33,426.583,179.464,0
34,425.25,178.797,0
35,423.916,178.131,0
36,422.583,177.464,0
37,421.25,176.797,0
38,419.916,176.131,0
39,418.583,175.464,0
40,417.25,174.797,0
41,415.916,174.131,0
42,414.583,173.464,0
43,413.25,172.797,0
44,411.916,172.131,0
45,410.583,171.464,0
46,409.264,170.936,0
47,407.944,170.408,0
48,406.625,169.881,0
49,405.305,169.353,0
50,403.986,168.825,0
51,402.666,168.297,0
52,401.347,167.77,0
53,400.027,167.242,0
54,398.708,166.714,0
55,397.389,166.186,0
56,396.069,165.658,0
57,394.75,165.131,0
58,393.43,164.603,0
59,392.111,164.075,0
60,390.791,163.547,0
61,389.472,163.02,0
62,388.152,162.492,0
63,386.833,161.964,0
64,385.517,161.449,0
65,384.201,160.935,0
66,382.884,160.42,0
67,381.568,159.905,0
68,380.252,159.39,0
69,378.936,158.876,0
70,377.62,158.361,0
71,376.304,157.846,0
72,374.987,157.332,0
73,373.671,156.817,0
74,372.355,156.302,0
75,371.039,155.788,0
76,369.723,155.273,0
77,368.407,154.758,0
78,367.09,154.243,0
79,365.774,153.729,0
80,364.458,153.214,0
81,363.198,152.591,0
82,361.938,151.969,0
83,360.679,151.346,0
84,359.419,150.724,0
85,358.159,150.101,0
86,356.899,149.479,0
87,355.639,148.856,0
88,354.379,148.234,0
89,353.12,147.611,0
90,351.86,146.989,0
91,350.6,146.366,0
92,349.34,145.744,0
93,348.08,145.121,0
