t,x,y,label
0,689.0,156.0,1
1,691.0,157.0,1
2,692.0,158.0,1
3,693.0,157.0,1
4,693.0,157.0,1
5,693.0,158.0,1
6,692.0,158.0,1
7,691.0,159.0,1
8,690.0,160.0,1
9,690.0,163.0,1
10,690.0,165.0,1
11,690.0,168.0,1
12,691.0,171.0,1
13,692.0,174.0,1
14,693.0,178.0,1
15,695.0,180.0,1
16,697.0,182.0,1
17,701.0,183.0,1
18,704.0,185.0,1
19,706.0,188.0,1
20,707.0,191.0,1
21,708.0,193.0,1
22,709.0,197.0,1
23,710.0,200.0,1
24,711.0,204.0,1
25,714.0,207.0,1
26,715.0,208.0,1
27,717.0,209.0,1
28,719.0,210.0,1
29,720.0,211.0,1
30,719.0,211.0,1
31,718.0,212.0,1
32,715.0,211.0,1
33,713.0,211.0,1
34,711.0,212.0,1
35,709.0,214.0,1
36,708.0,214.0,1
37,706.0,215.0,1
38,704.0,216.0,1
39,704.0,218.0,1
40,701.0,220.0,1
41,700.0,221.0,1
42,698.0,222.0,1
43,696.0,223.0,1
44,695.0,224.0,1
45,692.0,225.0,1
46,692.0,226.0,1
47,691.0,230.0,1
48,689.0,233.0,1
49,687.0,235.0,1
50,683.0,237.0,1
51,681.0,240.0,1
52,678.0,242.0,1
53,675.0,245.0,1
54,671.0,248.0,1
55,668.0,251.0,1
56,667.0,253.0,1
57,667.0,254.0,1
58,666.0,256.0,1
59,668.0,258.0,1
60,669.0,260.0,1
61,669.0,262.0,1
62,670.0,265.0,1
63,669.0,270.0,1
64,667.0,274.0,1
65,666.0,279.0,1
66,664.0,281.0,1
67,662.0,284.0,1
68,659.0,288.0,1
69,657.0,291.0,1
70,653.0,296.0,1
71,649.0,300.0,1
72,647.0,304.0,1
73,645.0,308.0,1
74,642.0,312.0,1
75,639.0,314.0,1
76,636.0,317.0,1
77,635.0,320.0,1
78,634.0,323.0,1
79,634.0,326.0,1
80,635.0,328.0,1
81,635.0,331.0,1
82,636.0,335.0,1
83,635.0,341.0,1
84,634.0,345.0,1
85,634.0,351.0,1
86,633.0,356.0,1
87,633.0,361.0,1
88,634.0,365.0,1
89,634.0,369.0,1
90,633.0,374.0,1
91,632.0,377.0,1
92,631.0,382.0,1
93,630.0,386.0,1
94,630.0,391.0,1
